id,op,dtype,M,N,K,layout,stride,threads,provider,semantic,runtime_ns,gflops,bw_gbps,error,status
166,GEMM,f32,64,64,64,NN,1,12,Eigen3,strict,4981.70,105.24,9.87,0.000000,COMPLETED
167,GEMM,f32,64,64,64,NN,1,24,SIMD_AVX2,reassoc,6445.55,81.34,7.63,0.000000,COMPLETED
168,GEMM,f32,64,64,64,NN,1,24,Eigen3,strict,5519.05,95.00,8.91,0.000000,COMPLETED
169,GEMM,f32,64,64,64,NT,1,1,SIMD_AVX2,reassoc,320585.20,1.64,0.15,0.000000,COMPLETED
170,GEMM,f32,64,64,64,NT,1,4,SIMD_AVX2,reassoc,123599.70,4.24,0.40,0.000000,COMPLETED
171,GEMM,f32,64,64,64,NT,1,12,SIMD_AVX2,reassoc,50962.35,10.29,0.96,0.000000,COMPLETED
172,GEMM,f32,64,64,64,NT,1,24,SIMD_AVX2,reassoc,33352.80,15.72,1.47,0.000000,COMPLETED
173,GEMM,f32,64,64,64,TN,1,1,SIMD_AVX2,reassoc,29366.10,17.85,1.67,0.000000,COMPLETED
174,GEMM,f32,64,64,64,TN,1,4,SIMD_AVX2,reassoc,13597.80,38.56,3.61,0.000000,COMPLETED
175,GEMM,f32,64,64,64,TN,1,12,SIMD_AVX2,reassoc,7404.50,70.81,6.64,0.000000,COMPLETED
176,GEMM,f32,64,64,64,TN,1,24,SIMD_AVX2,reassoc,6550.30,80.04,7.50,0.000000,COMPLETED
177,GEMM,f32,64,64,64,TT,1,1,SIMD_AVX2,reassoc,289502.95,1.81,0.17,0.000000,COMPLETED
178,GEMM,f32,64,64,64,TT,1,4,SIMD_AVX2,reassoc,124586.05,4.21,0.39,0.000000,COMPLETED
179,GEMM,f32,64,64,64,TT,1,12,SIMD_AVX2,reassoc,52871.25,9.92,0.93,0.000000,COMPLETED
180,GEMM,f32,64,64,64,TT,1,24,SIMD_AVX2,reassoc,35568.45,14.74,1.38,0.000000,COMPLETED
181,GEMM,f32,96,96,96,NN,1,1,SIMD_AVX2,reassoc,92579.00,19.11,1.19,0.000000,COMPLETED
182,GEMM,f32,96,96,96,NN,1,1,Eigen3,strict,17937.00,98.65,6.17,0.000000,COMPLETED
183,GEMM,f32,96,96,96,NN,1,4,SIMD_AVX2,reassoc,39077.20,45.28,2.83,0.000000,COMPLETED
184,GEMM,f32,96,96,96,NN,1,4,Eigen3,strict,14481.40,122.19,7.64,0.000000,COMPLETED
185,GEMM,f32,96,96,96,NN,1,12,SIMD_AVX2,reassoc,20011.80,88.42,5.53,0.000000,COMPLETED
186,GEMM,f32,96,96,96,NN,1,12,Eigen3,strict,12397.60,142.73,8.92,0.000000,COMPLETED
187,GEMM,f32,96,96,96,NN,1,24,SIMD_AVX2,reassoc,14354.20,123.27,7.70,0.000000,COMPLETED
188,GEMM,f32,96,96,96,NN,1,24,Eigen3,strict,17154.20,103.15,6.45,0.000000,COMPLETED
189,GEMM,f32,96,96,96,NT,1,1,SIMD_AVX2,reassoc,1080095.60,1.64,0.10,0.000000,COMPLETED
190,GEMM,f32,96,96,96,NT,1,4,SIMD_AVX2,reassoc,402533.00,4.40,0.27,0.000000,COMPLETED
191,GEMM,f32,96,96,96,NT,1,12,SIMD_AVX2,reassoc,165767.20,10.67,0.67,0.000000,COMPLETED
